Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,184.24.156.105,59080,1599607396.951031,9885,configuration.apple.com.akadns.net/pd.itunes.apple.com/
10.9.95.159,184.24.156.105,59086,1599607397.16005,7455,configuration.apple.com.akadns.net/pd.itunes.apple.com/
10.9.95.159,23.36.32.111,59081,1599607396.967948,4997,xp.itunes-apple.com.akadns.net/
10.9.95.159,144.208.79.222,59082,1599607397.084976,24821,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59083,1599607397.08498,11388,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59085,1599607397.130209,439,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59090,1599607423.156662,25413,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59091,1599607423.195215,11285,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59092,1599607423.198919,439,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59093,1599607423.277829,439,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59094,1599607432.77452,27075,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59095,1599607445.790595,18871,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59096,1599607445.842462,15407,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59097,1599607445.84346,439,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59098,1599607445.911047,439,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59099,1599607455.551903,24923,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59100,1599607455.586535,439,www.abrahamlincolnonline.org/
10.9.95.159,144.208.79.222,59101,1599607455.645188,439,www.abrahamlincolnonline.org/
10.9.95.159,23.221.74.25,59084,1599607397.115113,6061,play.itunes.apple.com.edgesuite.net/
10.9.95.159,17.248.187.12,59087,1599607405.378862,5191,me.apple-dns.net/
