Client IP,Server IP,Client Port,Sequence Diff,Possible Domains
192.168.1.4,23.41.6.190,52956,4028463,www.npr.org/media.npr.org/s.npr.org/
192.168.1.4,23.221.48.254,52957,126175,cdn.optimizely.com/
192.168.1.4,13.225.65.16,52958,10489,static-assets.npr.org/
192.168.1.4,13.249.94.121,52960,714838,bundles.npr.org/
192.168.1.4,13.249.94.121,52959,5933,bundles.npr.org/
192.168.1.4,13.249.94.121,52961,5763,bundles.npr.org/
192.168.1.4,72.21.91.66,52962,125215,platform.twitter.com/
192.168.1.4,72.21.91.66,52967,14246,platform.twitter.com/
192.168.1.4,72.21.91.66,52968,191727,platform.twitter.com/
192.168.1.4,72.21.91.66,52969,4577,platform.twitter.com/
192.168.1.4,104.92.243.49,52963,6316,a11107397707.cdn.optimizely.com/
192.168.1.4,104.244.42.72,52964,6568,syndication.twitter.com/
192.168.1.4,52.45.159.209,52966,4191,errors.client.optimizely.com/
192.168.1.4,52.45.159.209,52970,146,errors.client.optimizely.com/
192.168.1.4,172.217.10.110,52971,23803,www.google-analytics.com/
192.168.1.4,157.240.18.19,52972,173412,connect.facebook.net/
192.168.1.4,172.217.10.4,52973,4328,www.google.com/
192.168.1.4,216.35.221.71,52974,5887,api.npr.org/
192.168.1.4,172.217.3.98,52975,21929,www.googletagservices.com/
192.168.1.4,23.221.48.225,52976,21821,legacy.npr.org/
192.168.1.4,23.66.167.191,52977,5909,sb.scorecardresearch.com/
192.168.1.4,18.188.76.148,52978,4839,secure-us.imrworldwide.com/
192.168.1.4,54.159.23.126,52979,3893,logx.optimizely.com/
192.168.1.4,172.217.11.3,52980,138945,www.gstatic.com/
192.168.1.4,172.217.10.2,52981,5474,adservice.google.com/
192.168.1.4,172.217.11.2,52982,98385,securepubads.g.doubleclick.net/
192.168.1.4,157.240.18.35,52983,3107,www.facebook.com/
192.168.1.4,72.21.91.70,52984,9699,pbs.twimg.com/
192.168.1.4,172.217.10.65,52985,6734,tpc.googlesyndication.com/
192.168.1.4,172.253.63.157,52986,4435,stats.g.doubleclick.net/
192.168.1.4,13.225.221.96,52987,18474,static.chartbeat.com/
192.168.1.4,172.217.10.1,52988,6974,236306609a11535b7e9c41cf0e5c585e.safeframe.googlesyndication.com/
192.168.1.4,172.217.11.42,52989,34601,ajax.googleapis.com/content-autofill.googleapis.com/
192.168.1.4,172.217.11.42,52996,4040,ajax.googleapis.com/content-autofill.googleapis.com/
192.168.1.4,172.217.11.38,52990,4807,ad.doubleclick.net/
192.168.1.4,172.217.11.38,52992,2878,ad.doubleclick.net/
192.168.1.4,172.217.11.38,52991,2877,ad.doubleclick.net/
192.168.1.4,209.197.3.15,52993,76217,maxcdn.bootstrapcdn.com/
192.168.1.4,23.33.221.171,52994,4764,z.moatads.com/
192.168.1.4,172.217.12.162,52995,10269,pagead2.googlesyndication.com/
192.168.1.4,52.72.166.51,52997,4395,ping.chartbeat.net/
192.168.1.4,23.57.60.134,52998,86085,publish.responsiveads.com/
192.168.1.4,23.57.60.134,53000,83821,publish.responsiveads.com/
192.168.1.4,23.57.60.134,53003,12474,publish.responsiveads.com/
192.168.1.4,23.57.60.134,52999,2487,publish.responsiveads.com/
192.168.1.4,23.57.60.134,53001,9354,publish.responsiveads.com/
192.168.1.4,23.57.60.134,53002,87677,publish.responsiveads.com/
192.168.1.4,34.203.117.92,53004,6414,analytics.responsiveads.com/
192.168.1.4,151.139.128.14,53005,919,ocsp.sectigo.com/
192.168.1.4,172.217.9.234,53006,4963,safebrowsing.googleapis.com/
192.168.1.4,172.217.7.3,53008,5307,update.googleapis.com/
