Domain,Timestamp of Initial DNS query,Sequence Number Range
beacons.gcp.gvt2.com,1.6710917949676514,1692053281
bbc.com,4.481229782104492,3632581533
www.bbc.com,5.344239950180054,45937
wsjstream.wsj.net,5.76607084274292,929274997
static.bbci.co.uk,5.787890911102295,3517163846
safebrowsing.googleapis.com,5.788533926010132,1287631003
dd98ab754eceeb058603c52b80e928d9.safeframe.googlesyndication.com,8.538769960403442,2148978466
fig.bbc.co.uk,6.329091787338257,6655
ichef.bbc.co.uk,7.072040796279907,3504950359
static.bbc.co.uk,7.074033975601196,3485496025
cdn.optimizely.com,7.246218919754028,6689163
ad.crwdcntrl.net,7.253497838973999,6322
bbc.gscontxt.net,7.2537758350372314,4319
secure-us.imrworldwide.com,7.309334993362427,3970
ssc.api.bbc.com,7.337646007537842,4100
tags.crwdcntrl.net,7.34031081199646,20617
ychef.files.bbci.co.uk,7.4155027866363525,318314
cdn.permutive.com,7.938231945037842,46465
a4621041136.cdn.optimizely.com,7.969345808029175,6391
me-ssl.effectivemeasure.net,8.24688196182251,6117
idcta.api.bbc.co.uk,8.271283864974976,14214137
privacy.crwdcntrl.net,8.43039584159851,6547
a1.api.bbc.co.uk,8.59717583656311,5195
emp.bbci.co.uk,8.643621921539307,3501274898
t.effectivemeasure.net,8.67316484451294,691762637
collector.effectivemeasure.net,8.754451990127563,175287182
logx.optimizely.com,8.881864786148071,3862
detect-survey.effectivemeasure.net,9.120476961135864,417666175
emp.bbc.com,9.137203931808472,3504825316
gel.files.bbci.co.uk,9.6767737865448,3503884731
static.chartbeat.com,9.732194900512695,1014825394
bcp.crwdcntrl.net,9.75075888633728,2588
survey.effectivemeasure.net,9.778027772903442,5976
edigitalsurvey.com,9.811698913574219,4999
loadm.exelator.com,9.88347578048706,6556
x.skimresources.com,9.888017892837524,5433
aa.agkn.com,9.888661861419678,4874
sync.crwdcntrl.net,10.060728788375854,521
p.skimresources.com,10.064629793167114,5316
ping.chartbeat.net,10.349970817565918,3859
